"","report_date","civic_buildings.ext_destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed"
"452",2024-12-31,213,135,353,823,NA,3
"453",2025-01-01,213,135,353,823,NA,3
"454",2025-01-02,213,135,353,823,NA,3
"455",2025-01-03,213,135,353,823,NA,3
"456",2025-01-04,213,135,353,823,NA,3
"457",2025-01-05,213,135,353,823,NA,3
"458",2025-01-06,213,135,353,823,NA,3
"459",2025-01-07,213,135,353,823,NA,3
"460",2025-01-08,214,136,355,823,NA,3
"461",2025-01-09,214,136,355,823,NA,3
"462",2025-01-10,214,136,355,823,NA,3
"463",2025-01-11,214,136,355,823,NA,3
"464",2025-01-12,214,136,355,823,NA,3
"465",2025-01-13,214,136,355,823,NA,3
"466",2025-01-14,214,136,355,823,NA,3
"467",2025-01-15,214,136,355,823,NA,3
"468",2025-01-16,214,136,355,823,NA,3
"469",2025-01-17,214,136,355,823,NA,3
"470",2025-01-18,216,137,357,823,NA,3
"471",2025-01-19,216,137,357,823,NA,3
"472",2025-01-20,216,137,357,823,NA,3
"473",2025-01-21,216,137,357,823,NA,3
"474",2025-01-22,216,137,357,823,NA,3
"475",2025-01-23,216,137,357,823,NA,3
"476",2025-01-24,216,137,357,823,NA,3
"477",2025-01-25,216,137,357,823,NA,3
"478",2025-01-26,216,137,357,823,NA,3
"479",2025-01-27,216,137,357,823,NA,3
"480",2025-01-28,216,137,357,823,NA,3
"481",2025-01-29,216,137,357,823,NA,3
"482",2025-01-30,216,137,357,823,NA,3
"483",2025-01-31,216,137,357,823,NA,3
"484",2025-02-01,216,137,357,823,NA,3
"485",2025-02-02,216,137,357,823,NA,3
"486",2025-02-03,216,137,357,823,NA,3
"487",2025-02-04,216,137,357,823,NA,3
"488",2025-02-05,216,137,357,823,NA,3
"489",2025-02-06,216,137,357,823,NA,3
"490",2025-02-07,216,137,357,823,NA,3
"491",2025-02-08,216,137,357,823,NA,3
"492",2025-02-09,216,137,357,823,NA,3
"493",2025-02-10,216,137,357,823,NA,3
"494",2025-02-11,216,137,357,823,NA,3
"495",2025-02-12,216,137,357,823,NA,3
"496",2025-02-13,216,137,357,823,NA,3
"497",2025-02-14,216,137,357,823,NA,3
"498",2025-02-15,216,137,357,823,NA,3
"499",2025-02-16,216,137,357,823,NA,3
"500",2025-02-17,216,137,357,823,NA,3
"501",2025-02-18,216,137,357,823,NA,3
"502",2025-02-19,216,137,357,823,NA,3
"503",2025-02-20,216,137,357,823,NA,3
"504",2025-02-21,216,137,357,823,NA,3
"505",2025-02-22,216,137,357,823,NA,3
"506",2025-02-23,216,137,357,823,NA,3
"507",2025-02-24,216,137,357,823,NA,3
"508",2025-02-25,216,137,357,823,NA,3
"509",2025-02-26,216,137,357,823,NA,3
"510",2025-02-27,216,137,357,823,NA,3
"511",2025-02-28,216,137,357,823,NA,3
"512",2025-03-01,216,137,357,823,NA,3
"513",2025-03-02,216,137,357,823,NA,3
"514",2025-03-03,216,137,357,823,NA,3
"515",2025-03-04,216,137,357,823,NA,3
"516",2025-03-05,216,137,357,823,NA,3
"517",2025-03-06,216,137,357,823,NA,3
"518",2025-03-07,216,137,357,823,NA,3
"519",2025-03-08,216,137,357,823,NA,3
"520",2025-03-09,216,137,357,823,NA,3
"521",2025-03-10,216,137,357,823,NA,3
"522",2025-03-11,216,137,357,823,NA,3
"523",2025-03-12,216,137,357,823,NA,3
"524",2025-03-13,216,137,357,823,NA,3
"525",2025-03-14,216,137,357,823,NA,3
"526",2025-03-15,216,137,357,823,NA,3
"527",2025-03-16,216,137,357,823,NA,3
"528",2025-03-17,216,137,357,823,NA,3
"529",2025-03-18,216,137,357,823,NA,3
"530",2025-03-19,216,137,357,823,NA,3
"531",2025-03-20,216,137,357,823,NA,3
"532",2025-03-21,216,137,357,823,NA,3
"533",2025-03-22,216,137,357,823,NA,3
"534",2025-03-23,221,139,359,825,NA,3
"535",2025-03-24,221,139,359,825,NA,3
"536",2025-03-25,221,139,359,825,NA,3
"537",2025-03-26,221,139,359,825,NA,3
"538",2025-03-27,221,139,359,825,NA,3
"539",2025-03-28,221,139,359,825,NA,3
"540",2025-03-29,221,139,359,825,NA,3
"541",2025-03-30,221,139,359,825,NA,3
"542",2025-03-31,221,139,359,825,NA,3
"543",2025-04-01,221,139,359,825,NA,3
"544",2025-04-02,221,139,359,825,NA,3
"545",2025-04-03,221,139,359,825,NA,3
"546",2025-04-04,221,139,359,825,NA,3
"547",2025-04-05,221,139,359,825,NA,3
"548",2025-04-06,221,139,359,825,NA,3
"549",2025-04-07,221,139,359,825,NA,3
"550",2025-04-08,221,139,359,825,NA,3
"551",2025-04-09,221,139,359,825,NA,3
"552",2025-04-10,221,139,359,825,NA,3
"553",2025-04-11,221,139,359,825,NA,3
"554",2025-04-12,221,139,359,825,NA,3
"555",2025-04-13,221,139,359,825,NA,3
"556",2025-04-14,221,139,359,825,NA,3
"557",2025-04-15,221,139,359,825,NA,3
"558",2025-04-16,221,139,359,825,NA,3
"559",2025-04-17,221,139,359,825,NA,3
"560",2025-04-18,224,142,364,828,NA,3
"561",2025-04-19,224,142,364,828,NA,3
"562",2025-04-20,224,142,364,828,NA,3
"563",2025-04-21,224,142,364,828,NA,3
"564",2025-04-22,224,142,364,828,NA,3
"565",2025-04-23,224,142,364,828,NA,3
"566",2025-04-24,224,142,364,828,NA,3
"567",2025-04-25,224,142,364,828,NA,3
"568",2025-04-26,224,142,364,828,NA,3
"569",2025-04-27,224,142,364,828,NA,3
"570",2025-04-28,224,142,364,828,NA,3
"571",2025-04-29,224,142,364,828,NA,3
"572",2025-04-30,224,142,364,828,NA,3
"573",2025-05-01,224,142,364,828,NA,3
"574",2025-05-02,224,142,364,828,NA,3
"575",2025-05-03,224,142,364,828,NA,3
"576",2025-05-04,224,142,364,828,NA,3
"577",2025-05-05,224,142,364,828,NA,3
"578",2025-05-06,224,142,364,828,NA,3
"579",2025-05-07,224,142,364,828,NA,3
"580",2025-05-08,225,143,366,828,NA,3
